,bhk,type,area,region,status,age,price_in_lakh,price_per_sqft
32414,2,Apartment,736,Malad West,Ready to move,New,158.0,21467.391304347828
32415,4,Apartment,1450,Malad West,Ready to move,New,313.0,21586.206896551725
32416,4,Apartment,1662,Malad West,Ready to move,New,365.0,21961.492178098677
32419,4,Apartment,1765,Goregaon West,Under Construction,New,535.0,30311.614730878187
32420,3,Apartment,1283,Borivali West,Under Construction,New,371.0,28916.6017147311
32421,2,Apartment,644,Kandivali West,Under Construction,New,172.0,26708.07453416149
32422,2,Apartment,689,Kandivali East,Under Construction,New,210.0,30478.955007256893
32423,3,Apartment,1477,Kandivali West,Ready to move,New,289.0,19566.689234935682
32424,2,Apartment,823,Kandivali West,Under Construction,New,159.0,19319.562575941676
32425,2,Apartment,823,Kandivali West,Under Construction,New,158.0,19198.05589307412
32426,2,Apartment,823,Kandivali West,Under Construction,New,158.0,19198.05589307412
32427,1,Apartment,588,Kandivali West,Ready to move,New,93.55,15909.86394557823
32432,2,Apartment,899,Kandivali West,Under Construction,New,155.0,17241.379310344826
32433,2,Apartment,899,Kandivali West,Under Construction,New,155.0,17241.379310344826
32434,2,Apartment,899,Kandivali West,Under Construction,New,155.0,17241.379310344826
32435,2,Apartment,899,Kandivali West,Under Construction,New,154.0,17130.144605116795
32437,3,Apartment,1050,Malad West,Ready to move,Resale,202.99999999999997,19333.33333333333
32441,4,Apartment,1985,Malad West,Under Construction,New,415.00000000000006,20906.801007556678
32442,4,Apartment,1985,Malad West,Under Construction,New,417.0,21007.556675062973
32443,4,Apartment,1484,Wadala,Under Construction,New,475.0,32008.08625336927
32445,3,Apartment,1475,Malad East,Ready to move,Resale,275.0,18644.06779661017
32446,1,Apartment,575,Goregaon East,Ready to move,Resale,110.00000000000001,19130.4347826087
32449,1,Apartment,400,Malad West,Ready to move,Resale,51.0,12750.0
32450,2,Apartment,777,Kandivali West,Ready to move,Resale,120.0,15444.015444015444
32451,2,Apartment,826,Malad West,Ready to move,Resale,156.0,18886.198547215496
32453,2,Apartment,717,Kandivali East,Under Construction,New,217.0,30264.9930264993
32454,2,Apartment,545,Borivali West,Under Construction,New,144.0,26422.018348623853
32455,2,Apartment,606,Borivali West,Under Construction,New,159.0,26237.62376237624
32456,2,Apartment,678,Borivali West,Under Construction,New,175.0,25811.209439528022
32457,1,Apartment,540,Thane West,Ready to move,Resale,53.0,9814.814814814816
32458,4,Apartment,1553,Wadala,Under Construction,New,480.0,30907.9201545396
32459,2,Apartment,712,Wadala,Under Construction,New,204.99999999999997,28792.13483146067
32460,3,Apartment,1040,Wadala,Under Construction,New,298.0,28653.846153846152
32462,3,Apartment,1400,Powai,Ready to move,Resale,280.0,20000.0
32467,1,Apartment,540,Kandivali West,Ready to move,Resale,82.0,15185.185185185184
32468,1,Apartment,540,Kandivali West,Ready to move,Resale,82.0,15185.185185185184
32469,1,Apartment,540,Kandivali West,Ready to move,Resale,82.0,15185.185185185184
32470,1,Apartment,540,Malad West,Ready to move,Resale,85.0,15740.74074074074
32471,1,Apartment,540,Malad West,Ready to move,Resale,86.0,15925.925925925925
32472,2,Apartment,830,Kandivali West,Ready to move,Resale,150.0,18072.289156626506
32473,2,Apartment,830,Kandivali West,Ready to move,Resale,149.0,17951.807228915663
32474,2,Apartment,781,Kandivali West,Ready to move,New,124.0,15877.08066581306
32475,2,Apartment,781,Kandivali West,Ready to move,New,124.0,15877.08066581306
32476,2,Apartment,781,Kandivali West,Ready to move,New,124.0,15877.08066581306
32477,2,Apartment,781,Kandivali West,Ready to move,New,123.0,15749.039692701665
32478,2,Apartment,899,Kandivali West,Under Construction,New,155.0,17241.379310344826
32488,3,Apartment,1365,Borivali East,Ready to move,New,319.0,23369.96336996337
32489,3,Apartment,1365,Borivali East,Ready to move,New,315.0,23076.923076923078
32490,2,Apartment,780,Chembur,Under Construction,New,186.0,23846.153846153848
32491,1,Apartment,600,Chembur,Under Construction,Resale,109.00000000000001,18166.66666666667
32492,3,Apartment,1500,Malad East,Ready to move,Resale,379.0,25266.666666666668
32493,3,Apartment,1500,Goregaon West,Ready to move,Resale,270.0,18000.0
32494,3,Apartment,1200,Goregaon East,Ready to move,Resale,185.0,15416.666666666666
32495,3,Apartment,1500,Malad East,Ready to move,Resale,272.0,18133.333333333332
32496,2,Apartment,880,Malad West,Under Construction,New,165.0,18750.0
32497,1,Apartment,555,Bhandup East,Under Construction,Resale,65.0,11711.711711711712
32498,1,Apartment,500,Bhandup East,Under Construction,Resale,65.0,13000.0
32499,1,Apartment,550,Bhandup East,Under Construction,Resale,65.0,11818.181818181818
32500,1,Apartment,550,Bhandup East,Ready to move,Resale,65.0,11818.181818181818
32501,1,Studio Apartment,555,Mulund West,Ready to move,Resale,77.0,13873.873873873874
32502,1,Studio Apartment,350,Bhandup West,Under Construction,New,40.0,11428.57142857143
