,bhk,type,area,region,status,age,price_in_lakh,price_per_sqft
2,2,Apartment,610,Borivali West,Under Construction,New,173.0,28360.655737704918
4,2,Apartment,659,Mira Road East,Under Construction,New,94.11,14280.72837632777
13,2,Apartment,605,Jogeshwari West,Under Construction,New,155.0,25619.834710743802
14,1,Apartment,557,Vasai,Under Construction,New,58.5,10502.692998204668
15,2,Apartment,635,Kalamboli,Under Construction,New,83.0,13070.866141732284
16,1,Apartment,450,Powai,Under Construction,New,139.0,30888.88888888889
17,3,Apartment,1259,Ghansoli,Ready to move,New,280.0,22239.872915011914
18,2,Apartment,555,Thane West,Under Construction,New,142.0,25585.585585585584
20,2,Apartment,582,Vikhroli,Under Construction,New,149.0,25601.374570446736
22,1,Apartment,320,Chembur,Under Construction,New,69.9,21843.750000000004
23,1,Apartment,396,Thane West,Under Construction,New,42.99,10856.060606060606
24,2,Apartment,638,Airoli,Under Construction,New,126.0,19749.21630094044
27,2,Apartment,555,Borivali East,Under Construction,New,131.0,23603.603603603602
32,4,Apartment,1874,Kharghar,Under Construction,New,270.0,14407.684098185699
33,1,Apartment,450,Ulwe,Under Construction,New,54.99,12220.0
34,3,Apartment,859,Panvel,Under Construction,New,137.0,15948.777648428406
35,2,Apartment,720,Thane West,Under Construction,New,131.0,18194.444444444445
36,1,Apartment,404,Kamothe,Under Construction,New,58.0,14356.435643564357
37,2,Apartment,604,Jogeshwari East,Under Construction,New,144.0,23841.059602649006
38,3,Apartment,1116,Mulund West,Under Construction,New,285.0,25537.63440860215
40,3,Apartment,902,Goregaon West,Under Construction,New,259.0,28713.968957871395
44,2,Apartment,560,Mulund West,Under Construction,New,132.0,23571.428571428572
45,1,Apartment,448,Ghatkopar East,Under Construction,New,134.0,29910.714285714286
51,2,Apartment,610,Borivali West,Under Construction,New,173.0,28360.655737704918
53,2,Apartment,659,Mira Road East,Under Construction,New,94.11,14280.72837632777
62,2,Apartment,605,Jogeshwari West,Under Construction,New,155.0,25619.834710743802
63,1,Apartment,477,Vasai,Under Construction,New,51.0,10691.82389937107
64,2,Apartment,635,Kalamboli,Under Construction,New,83.0,13070.866141732284
65,1,Apartment,450,Powai,Under Construction,New,139.0,30888.88888888889
66,3,Apartment,1259,Ghansoli,Ready to move,New,280.0,22239.872915011914
67,2,Apartment,515,Thane West,Under Construction,New,124.0,24077.66990291262
69,2,Apartment,582,Vikhroli,Under Construction,New,149.0,25601.374570446736
71,1,Apartment,320,Chembur,Under Construction,New,69.9,21843.750000000004
72,1,Apartment,396,Thane West,Under Construction,New,42.99,10856.060606060606
73,1,Apartment,465,Airoli,Under Construction,New,90.0,19354.83870967742
76,2,Apartment,555,Borivali East,Under Construction,New,131.0,23603.603603603602
82,2,Apartment,709,Panvel,Under Construction,New,113.99999999999999,16078.984485190407
83,4,Apartment,1300,Thane West,Under Construction,New,254.0,19538.46153846154
84,2,Apartment,628,Kamothe,Under Construction,New,90.0,14331.210191082802
85,2,Apartment,587,Jogeshwari East,Under Construction,New,140.0,23850.085178875637
86,3,Apartment,1056,Mulund West,Under Construction,New,245.00000000000003,23200.75757575758
88,3,Apartment,902,Goregaon West,Under Construction,New,259.0,28713.968957871395
92,2,Apartment,625,Mulund West,Under Construction,New,147.0,23520.0
93,2,Apartment,639,Ghatkopar East,Under Construction,New,191.0,29890.453834115808
98,3,Apartment,845,Borivali West,Under Construction,New,235.0,27810.650887573964
99,1,Apartment,473,Mira Road East,Under Construction,New,69.65,14725.158562367867
105,3,Apartment,845,Borivali West,Under Construction,New,235.0,27810.650887573964
106,2,Apartment,610,Borivali West,Under Construction,New,173.0,28360.655737704918
107,2,Apartment,610,Borivali West,Under Construction,New,173.0,28360.655737704918
108,3,Apartment,845,Borivali West,Under Construction,New,235.0,27810.650887573964
109,3,Apartment,845,Borivali West,Under Construction,New,235.0,27810.650887573964
118,1,Apartment,473,Mira Road East,Under Construction,New,69.65,14725.158562367867
119,3,Apartment,946,Mira Road East,Under Construction,New,138.0,14587.737843551797
120,3,Apartment,946,Mira Road East,Under Construction,New,138.0,14587.737843551797
121,2,Apartment,667,Mira Road East,Under Construction,New,94.99,14241.379310344828
122,2,Apartment,667,Mira Road East,Under Construction,New,94.99,14241.379310344828
123,2,Apartment,682,Mira Road East,Under Construction,New,97.14,14243.401759530792
124,2,Apartment,682,Mira Road East,Under Construction,New,97.14,14243.401759530792
129,2,Apartment,579,Santacruz East,Under Construction,New,181.0,31260.794473229707
130,2,Apartment,579,Santacruz East,Under Construction,New,181.0,31260.794473229707
172,2,Apartment,543,Chembur,Under Construction,New,128.0,23572.744014732965
173,2,Apartment,543,Chembur,Under Construction,New,128.0,23572.744014732965
174,2,Apartment,859,Chembur,Under Construction,New,202.0,23515.715948777648
175,2,Apartment,859,Chembur,Under Construction,New,202.0,23515.715948777648
176,2,Apartment,590,Chembur,Under Construction,New,139.0,23559.322033898305
177,2,Apartment,590,Chembur,Under Construction,New,139.0,23559.322033898305
178,1,Apartment,430,Chembur,Under Construction,New,101.0,23488.372093023256
179,1,Apartment,430,Chembur,Under Construction,New,101.0,23488.372093023256
180,2,Apartment,705,Chembur,Under Construction,New,166.0,23546.09929078014
181,2,Apartment,705,Chembur,Under Construction,New,166.0,23546.09929078014
182,1,Apartment,421,Chembur,Under Construction,New,99.0,23515.43942992874
183,1,Apartment,421,Chembur,Under Construction,New,99.0,23515.43942992874
184,2,Apartment,610,Jogeshwari West,Under Construction,New,156.0,25573.77049180328
185,2,Apartment,610,Jogeshwari West,Under Construction,New,156.0,25573.77049180328
186,2,Apartment,708,Vasai,Under Construction,New,74.62,10539.54802259887
187,2,Apartment,691,Vasai,Under Construction,New,72.81,10536.903039073806
188,2,Apartment,829,Vasai,Under Construction,New,87.21,10519.903498190592
189,2,Apartment,680,Vasai,Under Construction,New,71.01,10442.647058823532
190,2,Apartment,695,Vasai,Under Construction,New,73.21,10533.812949640287
191,2,Apartment,749,Vasai,Under Construction,New,79.89,10666.221628838452
192,3,Apartment,1014,Vasai,Under Construction,New,106.0,10453.648915187377
197,1,Apartment,431,Powai,Under Construction,New,135.0,31322.505800464038
198,1,Apartment,431,Powai,Under Construction,New,135.0,31322.505800464038
199,1,Apartment,454,Kalamboli,Under Construction,New,63.0,13876.651982378855
200,1,Apartment,454,Kalamboli,Under Construction,New,63.0,13876.651982378855
201,1,Apartment,490,Kalamboli,Under Construction,New,58.0,11836.734693877552
202,1,Apartment,490,Kalamboli,Under Construction,New,58.0,11836.734693877552
205,2,Apartment,666,Kalamboli,Under Construction,New,82.0,12312.312312312311
206,2,Apartment,666,Kalamboli,Under Construction,New,82.0,12312.312312312311
207,2,Apartment,725,Ghansoli,Ready to move,New,170.0,23448.275862068964
208,2,Apartment,725,Ghansoli,Ready to move,New,170.0,23448.275862068964
209,4,Apartment,1492,Ghansoli,Ready to move,New,340.0,22788.203753351205
210,4,Apartment,1492,Ghansoli,Ready to move,New,340.0,22788.203753351205
211,2,Apartment,715,Ghansoli,Ready to move,New,168.0,23496.503496503497
212,2,Apartment,715,Ghansoli,Ready to move,New,168.0,23496.503496503497
213,1,Apartment,505,Ghansoli,Ready to move,New,108.0,21386.138613861385
214,1,Apartment,505,Ghansoli,Ready to move,New,108.0,21386.138613861385
215,2,Apartment,555,Thane West,Under Construction,New,142.0,25585.585585585584
216,2,Apartment,644,Thane West,Under Construction,New,158.0,24534.16149068323
217,2,Apartment,515,Thane West,Under Construction,New,124.0,24077.66990291262
218,2,Apartment,644,Thane West,Under Construction,New,158.0,24534.16149068323
219,2,Apartment,635,Thane West,Under Construction,New,165.0,25984.251968503937
220,1,Apartment,505,Ghansoli,Ready to move,New,108.0,21386.138613861385
226,2,Apartment,685,Andheri West,Under Construction,New,225.99999999999997,32992.700729927004
227,2,Apartment,685,Andheri West,Under Construction,New,225.99999999999997,32992.700729927004
270,1,Apartment,384,Borivali East,Under Construction,New,91.01,23700.520833333332
271,1,Apartment,384,Borivali East,Under Construction,New,91.01,23700.520833333332
272,2,Apartment,558,Borivali East,Under Construction,New,132.0,23655.913978494624
273,2,Apartment,558,Borivali East,Under Construction,New,132.0,23655.913978494624
274,2,Apartment,557,Borivali East,Under Construction,New,132.0,23698.3842010772
275,2,Apartment,557,Borivali East,Under Construction,New,132.0,23698.3842010772
276,2,Apartment,618,Borivali East,Under Construction,New,146.0,23624.595469255662
277,2,Apartment,618,Borivali East,Under Construction,New,146.0,23624.595469255662
287,5,Apartment,2135,Kharghar,Under Construction,New,314.0,14707.259953161592
288,3,Apartment,1198,Kharghar,Under Construction,New,179.0,14941.569282136896
291,3,Apartment,895,Panvel,Under Construction,New,142.0,15865.921787709498
292,2,Apartment,601,Panvel,Under Construction,New,97.92,16292.845257903495
293,2,Apartment,679,Thane West,Under Construction,New,124.0,18262.150220913107
294,3,Apartment,887,Thane West,Under Construction,New,187.0,21082.29988726043
297,1,Apartment,515,Kamothe,Under Construction,New,75.0,14563.106796116504
298,1,Apartment,427,Jogeshwari East,Under Construction,New,102.0,23887.58782201405
299,1,Apartment,380,Jogeshwari East,Under Construction,New,91.2,24000.0
300,2,Apartment,517,Jogeshwari East,Under Construction,New,124.0,23984.526112185686
320,1,Apartment,400,Goregaon East,Under Construction,Resale,79.8,19950.0
326,4,Apartment,1500,Kandivali East,Ready to move,Resale,560.0,37333.333333333336
330,1,Apartment,453,Thane West,Ready to move,Resale,85.0,18763.796909492274
337,1,Apartment,570,Thane West,Ready to move,Resale,55.0,9649.122807017544
345,3,Apartment,1015,Mulund West,Under Construction,New,245.00000000000003,24137.93103448276
346,3,Apartment,1116,Mulund West,Under Construction,New,285.0,25537.63440860215
347,3,Apartment,1116,Mulund West,Under Construction,New,285.0,25537.63440860215
348,3,Apartment,1056,Mulund West,Under Construction,New,245.00000000000003,23200.75757575758
349,3,Apartment,1056,Mulund West,Under Construction,New,245.00000000000003,23200.75757575758
350,3,Apartment,1015,Mulund West,Under Construction,New,245.00000000000003,24137.93103448276
351,3,Apartment,1015,Mulund West,Under Construction,New,245.00000000000003,24137.93103448276
352,3,Apartment,1116,Mulund West,Under Construction,New,285.0,25537.63440860215
353,3,Apartment,1056,Mulund West,Under Construction,New,245.00000000000003,23200.75757575758
354,3,Apartment,1015,Mulund West,Under Construction,New,245.00000000000003,24137.93103448276
356,3,Apartment,1076,Andheri East,Under Construction,New,319.0,29646.840148698884
357,3,Apartment,1076,Andheri East,Under Construction,New,319.0,29646.840148698884
358,3,Apartment,1076,Andheri East,Under Construction,New,319.0,29646.840148698884
359,2,Apartment,718,Andheri East,Under Construction,New,212.0,29526.462395543174
360,3,Apartment,1076,Andheri East,Under Construction,New,319.0,29646.840148698884
361,2,Apartment,758,Andheri East,Under Construction,New,224.00000000000003,29551.451187335097
362,2,Apartment,718,Andheri East,Under Construction,New,212.0,29526.462395543174
363,3,Apartment,991,Andheri East,Under Construction,New,294.0,29667.003027245206
364,2,Apartment,758,Andheri East,Under Construction,New,224.00000000000003,29551.451187335097
365,3,Apartment,991,Andheri East,Under Construction,New,294.0,29667.003027245206
366,2,Apartment,618,Andheri East,Under Construction,New,182.0,29449.838187702266
367,2,Apartment,618,Andheri East,Under Construction,New,182.0,29449.838187702266
368,3,Apartment,1033,Andheri East,Under Construction,New,306.0,29622.45885769603
369,3,Apartment,1033,Andheri East,Under Construction,New,306.0,29622.45885769603
370,3,Apartment,913,Andheri East,Under Construction,New,270.0,29572.836801752463
371,3,Apartment,913,Andheri East,Under Construction,New,270.0,29572.836801752463
372,3,Apartment,866,Andheri East,Under Construction,New,257.0,29676.674364896073
373,3,Apartment,866,Andheri East,Under Construction,New,257.0,29676.674364896073
374,2,Apartment,562,Andheri East,Under Construction,New,170.0,30249.110320284697
375,2,Apartment,562,Andheri East,Under Construction,New,170.0,30249.110320284697
376,3,Apartment,948,Andheri East,Under Construction,New,281.0,29641.350210970464
377,3,Apartment,948,Andheri East,Under Construction,New,281.0,29641.350210970464
378,3,Apartment,894,Mira Road East,Under Construction,New,186.0,20805.36912751678
379,2,Apartment,668,Mira Road East,Under Construction,New,135.0,20209.580838323353
397,2,Apartment,750,Mira Road East,Ready to move,Resale,73.0,9733.333333333334
402,2,Apartment,785,Mira Road East,Ready to move,Resale,93.0,11847.133757961783
403,2,Apartment,765,Mira Road East,Ready to move,Resale,91.0,11895.424836601307
405,2,Apartment,850,Mira Road East,Ready to move,Resale,111.00000000000001,13058.823529411768
408,2,Apartment,856,Mira Road East,Ready to move,Resale,118.0,13785.046728971962
409,2,Apartment,750,Mira Road East,Ready to move,Resale,70.0,9333.333333333334
410,2,Apartment,768,Mira Road East,Ready to move,Resale,90.0,11718.75
411,2,Apartment,856,Mira Road East,Ready to move,Resale,119.0,13901.869158878504
413,2,Apartment,850,Mira Road East,Ready to move,Resale,105.0,12352.941176470587
423,2,Apartment,870,Mira Road East,Ready to move,Resale,95.0,10919.540229885057
432,2,Apartment,581,Ghatkopar East,Under Construction,Resale,125.0,21514.629948364887
433,2,Apartment,810,Mira Road East,Ready to move,Resale,118.0,14567.901234567902
434,3,Apartment,1200,Mira Road East,Ready to move,Resale,185.0,15416.666666666666
435,2,Apartment,856,Mira Road East,Ready to move,Resale,79.0,9228.971962616823
436,2,Apartment,856,Mira Road East,Ready to move,Resale,80.0,9345.794392523365
439,2,Apartment,850,Dahisar,Ready to move,Resale,78.0,9176.470588235294
440,2,Apartment,850,Dahisar,Ready to move,Resale,79.0,9294.117647058823
443,2,Apartment,789,Mira Road East,Ready to move,Resale,98.0,12420.785804816223
445,2,Apartment,789,Mira Road East,Ready to move,Resale,98.0,12420.785804816223
448,2,Apartment,850,Mira Road East,Ready to move,Resale,78.0,9176.470588235294
449,2,Apartment,825,Mira Road East,Ready to move,Resale,110.00000000000001,13333.333333333336
464,2,Apartment,850,Mira Road East,Ready to move,Resale,114.99999999999999,13529.411764705881
469,3,Apartment,1300,Powai,Ready to move,Resale,229.99999999999997,17692.307692307688
474,3,Apartment,939,Mulund West,Under Construction,Resale,258.0,27476.038338658145
476,3,Apartment,905,Powai,Under Construction,New,275.0,30386.740331491714
477,3,Apartment,905,Powai,Under Construction,New,275.0,30386.740331491714
478,3,Apartment,905,Powai,Under Construction,New,275.0,30386.740331491714
479,3,Apartment,905,Powai,Under Construction,New,275.0,30386.740331491714
480,3,Apartment,944,Powai,Under Construction,New,286.0,30296.610169491527
481,3,Apartment,944,Powai,Under Construction,New,286.0,30296.610169491527
482,2,Apartment,611,Powai,Under Construction,New,175.0,28641.571194762684
483,2,Apartment,611,Powai,Under Construction,New,175.0,28641.571194762684
484,2,Apartment,615,Powai,Under Construction,New,176.0,28617.886178861787
485,2,Apartment,615,Powai,Under Construction,New,176.0,28617.886178861787
500,2,Apartment,645,Goregaon West,Under Construction,New,192.0,29767.441860465115
501,2,Apartment,645,Goregaon West,Under Construction,New,192.0,29767.441860465115
502,3,Apartment,902,Goregaon West,Under Construction,New,259.0,28713.968957871395
503,3,Apartment,902,Goregaon West,Under Construction,New,259.0,28713.968957871395
504,2,Apartment,645,Goregaon West,Under Construction,New,192.0,29767.441860465115
505,2,Apartment,645,Goregaon West,Under Construction,New,192.0,29767.441860465115
521,1,Apartment,580,Ghatkopar West,Ready to move,Resale,80.0,13793.103448275862
522,1,Apartment,420,Andheri West,Ready to move,Resale,100.0,23809.52380952381
523,1,Apartment,380,Borivali East,Under Construction,New,88.0,23157.894736842107
524,2,Apartment,764,Borivali East,Under Construction,New,185.0,24214.659685863873
525,1,Apartment,500,Mira Road East,Ready to move,Resale,77.0,15400.0
526,1,Apartment,550,Thane West,Under Construction,Resale,41.41,7529.090909090908
531,1,Apartment,450,Dronagiri,Under Construction,New,41.37,9193.333333333332
544,3,Apartment,1350,Thane West,Ready to move,Resale,210.0,15555.555555555555
550,3,Apartment,1360,Ghatkopar West,Ready to move,Resale,270.0,19852.941176470587
560,3,Apartment,1400,Owale,Ready to move,Resale,140.0,10000.0
562,2,Apartment,800,Ville Parle East,Ready to move,Resale,250.0,31250.0
563,2,Apartment,672,Thane West,Ready to move,New,103.0,15327.380952380952
564,1,Apartment,330,Thane West,Ready to move,New,49.98,15145.454545454546
565,1,Apartment,343,Thane West,Ready to move,New,51.95,15145.772594752187
566,2,Apartment,659,Thane West,Ready to move,New,101.0,15326.251896813354
568,2,Apartment,505,Thane West,Ready to move,New,77.44,15334.653465346535
575,1,Apartment,575,Kalwa,Ready to move,Resale,60.0,10434.782608695652
576,3,Apartment,1300,Borivali East,Ready to move,Resale,319.0,24538.46153846154
595,2,Apartment,676,Kanjurmarg,Under Construction,Resale,150.0,22189.349112426036
604,1,Apartment,450,Vangani,Ready to move,Resale,89.0,19777.777777777777
608,1,Apartment,512,Ulwe,Ready to move,Resale,65.0,12695.3125
610,2,Apartment,854,Santacruz East,Ready to move,Resale,155.0,18149.882903981266
612,1,Apartment,540,Ghatkopar West,Ready to move,Resale,100.0,18518.51851851852
622,1,Apartment,600,Goregaon West,Ready to move,Resale,95.0,15833.333333333334
625,1,Apartment,395,Bhayandar East,Ready to move,Resale,55.99,14174.683544303798
629,3,Apartment,1090,Mira Road East,Ready to move,Resale,110.00000000000001,10091.743119266057
630,2,Apartment,658,Andheri East,Ready to move,Resale,130.0,19756.838905775076
644,2,Apartment,870,Kandivali East,Ready to move,Resale,145.0,16666.666666666668
645,1,Apartment,464,Kandivali West,Ready to move,Resale,125.0,26939.655172413793
648,1,Apartment,500,Sewri,Ready to move,Resale,130.0,26000.0
679,3,Apartment,1300,Matunga,Ready to move,Resale,399.0,30692.30769230769
680,2,Apartment,670,Kandivali East,Ready to move,Resale,105.0,15671.641791044776
705,2,Apartment,900,Kandivali East,Under Construction,Resale,195.0,21666.666666666668
711,2,Apartment,900,Malad West,Ready to move,Resale,160.0,17777.777777777777
734,2,Apartment,715,Andheri East,Ready to move,Resale,165.0,23076.923076923078
735,2,Apartment,715,Andheri East,Ready to move,Resale,165.0,23076.923076923078
736,2,Apartment,715,Andheri East,Ready to move,Resale,165.0,23076.923076923078
737,2,Apartment,715,Andheri East,Ready to move,Resale,165.0,23076.923076923078
738,2,Apartment,715,Andheri East,Ready to move,Resale,165.0,23076.923076923078
739,2,Apartment,715,Andheri East,Ready to move,Resale,165.0,23076.923076923078
744,2,Apartment,660,Mulund West,Ready to move,Resale,160.0,24242.424242424244
745,2,Apartment,850,Andheri East,Ready to move,Resale,225.0,26470.58823529412
770,1,Apartment,533,Vikhroli,Ready to move,Resale,88.0,16510.31894934334
772,2,Apartment,653,Koper Khairane,Under Construction,Resale,150.0,22970.903522205208
773,2,Apartment,653,Koper Khairane,Under Construction,Resale,150.0,22970.903522205208
774,2,Apartment,653,Koper Khairane,Under Construction,Resale,150.0,22970.903522205208
786,2,Apartment,770,Ghatkopar East,Ready to move,Resale,180.0,23376.623376623378
787,2,Apartment,770,Ghatkopar East,Ready to move,Resale,180.0,23376.623376623378
788,2,Apartment,770,Ghatkopar East,Ready to move,Resale,180.0,23376.623376623378
789,2,Apartment,770,Ghatkopar East,Ready to move,Resale,180.0,23376.623376623378
790,2,Apartment,770,Ghatkopar East,Ready to move,Resale,180.0,23376.623376623378
791,2,Apartment,770,Ghatkopar East,Ready to move,Resale,180.0,23376.623376623378
792,2,Apartment,770,Ghatkopar East,Ready to move,Resale,180.0,23376.623376623378
793,2,Apartment,770,Ghatkopar East,Ready to move,Resale,180.0,23376.623376623378
794,2,Apartment,770,Ghatkopar East,Ready to move,Resale,180.0,23376.623376623378
795,2,Apartment,770,Ghatkopar East,Ready to move,Resale,180.0,23376.623376623378
796,2,Apartment,770,Ghatkopar East,Ready to move,Resale,180.0,23376.623376623378
797,2,Apartment,770,Ghatkopar East,Ready to move,Resale,180.0,23376.623376623378
798,2,Apartment,770,Ghatkopar East,Ready to move,Resale,180.0,23376.623376623378
799,2,Apartment,770,Ghatkopar East,Ready to move,Resale,180.0,23376.623376623378
810,2,Apartment,771,Kandivali West,Ready to move,Resale,175.0,22697.795071335928
811,2,Apartment,771,Kandivali West,Ready to move,Resale,175.0,22697.795071335928
812,2,Apartment,771,Kandivali West,Ready to move,Resale,175.0,22697.795071335928
813,2,Apartment,771,Kandivali West,Ready to move,Resale,175.0,22697.795071335928
814,2,Apartment,771,Kandivali West,Ready to move,Resale,175.0,22697.795071335928
815,2,Apartment,771,Kandivali West,Ready to move,Resale,175.0,22697.795071335928
816,2,Apartment,771,Kandivali West,Ready to move,Resale,175.0,22697.795071335928
817,2,Apartment,771,Kandivali West,Ready to move,Resale,175.0,22697.795071335928
818,2,Apartment,771,Kandivali West,Ready to move,Resale,175.0,22697.795071335928
819,2,Apartment,771,Kandivali West,Ready to move,Resale,175.0,22697.795071335928
820,2,Apartment,771,Kandivali West,Ready to move,Resale,175.0,22697.795071335928
821,2,Apartment,771,Kandivali West,Ready to move,Resale,175.0,22697.795071335928
822,2,Apartment,771,Kandivali West,Ready to move,Resale,175.0,22697.795071335928
823,2,Apartment,771,Kandivali West,Ready to move,Resale,175.0,22697.795071335928
824,2,Apartment,771,Kandivali West,Ready to move,Resale,175.0,22697.795071335928
825,2,Apartment,771,Kandivali West,Ready to move,Resale,175.0,22697.795071335928
908,1,Studio Apartment,310,Powai,Ready to move,Resale,75.0,24193.548387096773
912,1,Apartment,575,Bhandup West,Ready to move,Resale,97.0,16869.565217391304
980,3,Apartment,880,Mulund West,Ready to move,Resale,185.0,21022.727272727272
1007,2,Apartment,830,Anjurdive,Ready to move,Resale,73.0,8795.180722891566
1020,1,Apartment,600,Powai,Under Construction,Resale,65.0,10833.333333333334
1022,2,Apartment,560,Thane West,Under Construction,New,99.0,17678.571428571428
1023,2,Apartment,575,Thane West,Under Construction,New,101.0,17565.217391304348
1024,2,Apartment,585,Mulund West,Under Construction,New,137.0,23418.803418803418
1025,2,Apartment,600,Mulund West,Under Construction,New,142.0,23666.666666666668
1026,3,Apartment,950,Ghatkopar East,Under Construction,New,285.0,30000.0
1027,2,Apartment,633,Ghatkopar East,Under Construction,New,189.0,29857.81990521327
1028,2,Apartment,643,Kandivali West,Under Construction,New,160.0,24883.359253499224
1029,2,Apartment,644,Kandivali West,Under Construction,New,161.0,25000.0
1035,2,Apartment,626,Kandivali East,Under Construction,New,153.0,24440.894568690095
1036,2,Apartment,626,Kandivali East,Under Construction,New,153.0,24440.894568690095
1037,2,Apartment,706,Kandivali East,Under Construction,New,172.0,24362.606232294616
1038,1,Apartment,448,Kandivali East,Under Construction,New,109.00000000000001,24330.35714285715
1039,2,Apartment,678,Kandivali East,Under Construction,New,166.0,24483.775811209438
1040,3,Apartment,1380,Ghatkopar East,Ready to move,Resale,370.0,26811.594202898552
1044,1,Apartment,395,Kandivali East,Under Construction,New,83.0,21012.6582278481
1048,3,Apartment,1106,Dahisar,Under Construction,New,260.0,23508.137432188065
1049,2,Apartment,624,Dahisar,Ready to move,New,114.99999999999999,18429.487179487176
1051,3,Apartment,1023,Kandivali East,Under Construction,New,260.0,25415.44477028348
1052,2,Apartment,623,Kandivali East,Under Construction,Resale,183.0,29373.996789727127
1053,3,Apartment,1046,Kandivali East,Under Construction,Resale,308.0,29445.506692160612
1055,1,Apartment,322,Thane West,Under Construction,New,59.99,18630.434782608696
1059,2,Apartment,585,Kandivali West,Under Construction,Resale,146.0,24957.264957264957
1060,1,Apartment,418,Kandivali West,Under Construction,Resale,104.0,24880.38277511962
1061,2,Apartment,611,Borivali West,Ready to move,Resale,177.0,28968.903436988545
1062,2,Apartment,558,Borivali West,Ready to move,Resale,160.0,28673.83512544803
1063,3,Apartment,831,Kandivali West,Under Construction,Resale,231.99999999999997,27918.17087845968
1064,2,Apartment,636,Borivali West,Under Construction,Resale,175.0,27515.723270440252
1067,1,Apartment,600,Dombivali,Under Construction,New,41.0,6833.333333333333
1071,2,Apartment,853,Thane West,Ready to move,New,99.0,11606.09613130129
1072,3,Apartment,1213,Thane West,Under Construction,New,254.0,20939.81863149217
1084,3,Apartment,1400,Thane West,Ready to move,Resale,200.0,14285.714285714286
1088,1,Apartment,549,Naigaon East,Under Construction,New,44.1,8032.786885245901
1091,2,Apartment,733,Mira Road East,Ready to move,New,85.0,11596.18008185539
1094,2,Apartment,829,Mira Road East,Under Construction,New,114.99999999999999,13872.13510253317
1096,2,Apartment,799,Thane West,Ready to move,Resale,119.0,14893.617021276596
1100,3,Apartment,1251,Mira Road East,Under Construction,New,126.0,10071.942446043166
1102,2,Apartment,838,Mira Road East,Under Construction,New,105.0,12529.832935560858
1104,1,Apartment,553,Mira Road East,Ready to move,New,59.0,10669.077757685352
1120,1,Apartment,514,Bhiwandi,Under Construction,New,40.5,7879.377431906615
1123,1,Apartment,514,Bhiwandi,Under Construction,New,40.5,7879.377431906615
1130,1,Apartment,450,Thane West,Ready to move,Resale,44.0,9777.777777777777
1132,3,Apartment,1040,Kandivali East,Ready to move,Resale,215.0,20673.076923076922
1135,3,Apartment,1239,Mira Road East,Under Construction,New,130.0,10492.332526230832
1138,1,Apartment,479,Bhiwandi,Under Construction,New,46.99,9810.020876826722
1139,1,Apartment,432,Bhiwandi,Under Construction,New,43.0,9953.703703703704
1140,1,Apartment,579,Bhiwandi,Under Construction,New,57.0,9844.559585492229
1142,1,Apartment,512,Mira Road East,Under Construction,New,52.5,10253.90625
1143,2,Apartment,877,Bhayandar East,Under Construction,New,117.0,13340.935005701254
1145,2,Apartment,881,Mira Road East,Under Construction,New,94.58,10735.527809307605
1147,3,Apartment,1338,Mira Road East,Under Construction,New,173.0,12929.745889387144
1149,2,Apartment,820,Mira Road East,Ready to move,New,82.01,10001.219512195123
1150,2,Apartment,865,Mira Road East,Under Construction,New,114.99999999999999,13294.79768786127
1151,2,Apartment,867,Mira Road East,Ready to move,New,88.0,10149.942329873125
1153,2,Apartment,850,Bhayandar East,Ready to move,Resale,109.00000000000001,12823.529411764708
1157,2,Apartment,618,Thane West,Under Construction,New,148.0,23948.22006472492
1158,2,Apartment,543,Thane West,Under Construction,New,135.0,24861.878453038673
1159,3,Apartment,981,Thane West,Under Construction,New,235.0,23955.14780835882
1161,1,Apartment,539,Mira Road East,Under Construction,New,58.0,10760.667903525047
1162,1,Apartment,577,Mira Road East,Under Construction,New,89.0,15424.610051993068
1168,1,Apartment,549,Naigaon East,Under Construction,New,42.5,7741.347905282331
1169,2,Apartment,769,Naigaon East,Under Construction,New,63.0,8192.457737321196
1180,1,Apartment,539,Mira Road East,Under Construction,New,58.0,10760.667903525047
1181,1,Apartment,590,Mira Road East,Under Construction,New,59.0,10000.0
1182,2,Apartment,516,Thane West,Under Construction,New,119.0,23062.01550387597
1183,2,Apartment,646,Thane West,Under Construction,New,149.0,23065.01547987616
1184,2,Apartment,712,Thane West,Under Construction,New,146.0,20505.61797752809
1185,2,Apartment,712,Thane West,Under Construction,New,146.0,20505.61797752809
1186,1,Apartment,555,Bhandup East,Under Construction,Resale,65.0,11711.711711711712
1191,2,Apartment,864,Mira Road East,Under Construction,New,79.49,9200.23148148148
1194,2,Apartment,877,Bhayandar East,Under Construction,New,117.0,13340.935005701254
1197,2,Apartment,831,Mira Road East,Under Construction,New,99.0,11913.357400722021
1198,1,Apartment,578,Mira Road East,Under Construction,New,71.0,12283.737024221453
1203,1,Apartment,405,Mira Road East,Under Construction,New,65.99,16293.827160493825
1205,1,Apartment,431,Mira Road East,Under Construction,New,69.0,16009.280742459398
1206,1,Apartment,399,Mira Road East,Under Construction,New,62.99,15786.967418546366
1207,3,Apartment,1010,Mira Road East,Under Construction,New,134.0,13267.326732673268
1208,2,Apartment,578,Mira Road East,Under Construction,New,94.99,16434.256055363323
1209,2,Apartment,516,Mira Road East,Under Construction,New,90.0,17441.86046511628
1210,1,Apartment,395,Mira Road East,Under Construction,New,64.25,16265.822784810127
